Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Quartile,Government consumption,data,Transfers and subsidies,data,Government investment,data,Top marginal income tax rate,data,Top marginal income and payroll tax rate,data,Top marginal tax rate,State ownership of assets,Size of Government, Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Gender Legal Rights Adjustment,Legal System & Property Rights,Money growth,data,Standard deviation of inflation,data, Inflation: Most recent year,data,Freedom to own foreign currency bank accounts,Sound Money,Revenue from trade taxes (% of trade sector),data,Mean tariff rate,data,Standard deviation of tariff rates,data,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Financial Openness,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Impartial Public Administration,Licensing restrictions,Tax compliance,Business regulations,Regulation
2020,BRA,Brazil,6.33,114,3,4.52,24.63,5.35,17.57,10.00,13.45,8.00,28.00,2.00,52.00,5.00,8.18,6.61,5.29,4.68,4.89,5.83,5.18,3.33,8.24,3.85,1.00,5.16,8.47,7.65,9.16,2.11,9.36,3.21,10.00,9.25,8.73,1.90,7.34,13.30,6.12,9.71,7.40,4.04,7.87,5.95,10.00,1.64,2.31,0.00,1.32,6.17,5.00,1.09,7.00,4.36,2.23,2.93,5.48,6.00,7.13,3.00,4.46,1.14,6.22,9.42,5.20,5.40,0.00,4.56,4.46
2020,BRB,Barbados,7.01,72,2,7.79,13.52,6.65,12.81,10.00,14.19,8.00,29.00,3.00,46.00,5.50,6.69,7.32,7.22,5.38,5.85,,7.74,3.80,7.58,6.40,0.88,5.91,9.53,2.34,8.78,3.04,9.42,2.90,5.00,8.18,8.01,2.99,7.86,10.70,5.63,10.91,7.17,6.56,6.16,6.36,10.00,1.64,0.00,0.00,0.55,6.02,8.00,10.00,10.00,9.33,8.90,2.99,6.37,8.00,5.68,10.00,6.99,3.26,6.89,9.41,7.44,5.00,7.30,6.55,7.62
2020,BRN,Brunei Darussalam,7.21,59,2,0.00,51.70,,,10.00,3.48,10.00,0.00,10.00,7.00,10.00,,6.67,5.63,5.25,5.53,8.33,6.67,4.17,4.80,6.47,0.71,5.00,9.79,1.04,6.50,8.75,9.61,1.94,10.00,8.98,,,9.96,0.20,9.32,1.70,9.64,5.10,2.34,3.72,10.00,,6.15,0.00,3.08,6.61,,8.67,10.00,9.33,10.00,4.91,7.82,10.00,10.00,10.00,8.79,3.89,8.44,9.81,,9.56,9.41,8.22,8.78
2020,BTN,Bhutan,6.49,110,3,4.35,25.22,9.46,2.47,4.97,32.62,7.00,33.00,8.00,26.00,7.50,5.28,6.31,6.50,6.62,6.16,,7.45,7.37,6.90,2.46,0.94,6.03,8.09,9.57,9.01,2.47,8.87,5.63,0.00,6.49,9.20,1.20,5.58,22.10,4.25,14.37,6.34,4.92,9.50,7.21,10.00,1.64,0.00,0.00,0.55,6.03,5.00,9.39,9.00,7.80,10.00,2.01,5.63,10.00,10.00,10.00,7.94,2.54,4.22,9.58,8.23,8.47,9.42,7.08,7.60
2020,BWA,Botswana,7.35,49,2,0.00,43.72,8.67,5.39,7.82,22.64,9.00,25.00,9.00,25.00,9.00,7.63,6.62,6.80,6.36,6.52,8.33,6.68,3.07,7.81,6.30,0.88,6.10,9.39,3.05,8.21,4.46,9.62,1.89,10.00,9.31,3.00,10.50,8.46,7.70,5.53,11.17,5.66,5.32,9.40,7.36,10.00,10.00,5.38,0.00,5.13,7.04,8.00,6.35,10.00,8.12,10.00,4.96,5.76,10.00,3.78,10.00,7.42,4.15,6.67,8.46,8.28,9.26,8.65,7.58,7.70
2020,CAF,Central African Republic,5.40,155,4,9.49,7.73,9.58,2.04,3.33,38.33,5.00,40.00,2.00,52.00,3.50,8.88,6.96,5.88,2.24,3.92,,3.08,0.51,4.97,,0.76,3.03,8.19,9.06,8.84,2.89,9.54,2.30,0.00,6.64,6.29,5.57,6.40,18.00,6.18,9.54,6.29,3.28,2.28,2.78,10.00,1.64,1.54,0.00,1.06,5.03,5.00,10.00,10.00,8.33,0.00,,,6.00,7.01,0.00,3.25,,0.67,7.84,2.13,7.31,4.59,4.50,5.36
2020,CAN,Canada,7.81,14,1,3.45,28.26,4.45,20.86,8.97,18.59,5.00,45-54,5.00,45-54,5.00,7.21,5.82,7.67,7.84,7.72,10.00,8.51,5.82,8.68,7.92,1.00,8.02,8.54,7.30,9.67,0.82,9.86,0.72,10.00,9.52,9.80,0.30,9.22,3.90,2.56,18.60,7.19,5.94,9.89,7.91,10.00,10.00,7.69,0.00,5.90,7.75,10.00,4.23,10.00,8.08,8.90,6.09,7.24,8.00,8.27,10.00,8.08,4.83,7.56,9.95,8.55,6.85,8.53,7.71,7.96
2020,CHE,Switzerland,8.37,3,1,6.21,18.89,5.36,17.53,10.00,13.00,8.00,26-43,6.00,35-50,7.00,9.04,7.52,8.59,8.54,9.04,10.00,8.83,6.25,9.60,9.05,1.00,8.74,9.75,1.24,9.82,0.44,9.85,-0.73,10.00,9.86,9.90,0.15,8.94,5.30,0.46,23.85,6.43,6.22,9.91,8.07,10.00,10.00,3.08,5.00,6.03,7.63,8.00,9.11,10.00,9.04,10.00,8.04,7.90,6.00,10.00,0.00,6.99,6.32,6.22,9.58,9.79,8.37,9.29,8.26,8.10
2020,CHL,Chile,7.56,33,1,5.54,21.17,8.46,6.15,10.00,10.93,6.00,36.00,6.00,36.00,6.00,8.40,7.68,7.54,6.87,7.16,7.50,7.26,5.37,9.10,7.79,0.82,6.68,9.11,4.45,9.01,2.49,9.39,3.05,10.00,9.38,9.79,0.31,8.80,6.00,9.83,0.42,9.48,7.01,6.83,6.92,10.00,7.00,2.31,0.00,3.10,7.37,8.00,8.58,7.00,7.86,5.57,3.44,8.30,10.00,2.52,0.00,4.97,4.02,7.33,9.84,7.46,7.74,6.68,7.18,6.67
2020,CHN,China,6.27,116,3,2.71,30.79,8.29,6.76,3.87,36.46,6.00,45.00,6.00,45.00,6.00,3.98,4.97,4.28,4.96,5.96,5.00,4.29,4.75,8.32,5.98,0.88,5.12,9.81,0.96,9.43,1.42,9.52,2.42,5.00,8.44,9.44,0.84,8.50,7.50,7.51,6.23,8.48,5.81,8.64,7.22,10.00,1.64,0.00,0.00,0.55,6.56,2.00,7.49,10.00,6.50,8.90,5.77,6.05,10.00,2.52,0.00,5.54,5.63,3.56,9.71,3.69,9.11,8.45,6.69,6.24
2020,CIV,Cote d'Ivoire,6.01,132,4,7.69,13.87,9.56,2.13,5.91,29.33,3.00,47.00,1.00,58.00,2.00,7.15,6.46,4.59,4.28,4.94,4.17,4.97,3.97,6.93,4.03,0.88,4.46,9.21,3.97,9.55,1.12,9.52,2.43,0.00,7.07,5.30,7.05,7.58,12.10,7.05,7.38,6.64,5.21,1.83,3.52,10.00,1.64,0.77,0.00,0.80,5.24,10.00,8.08,5.00,7.69,5.57,4.95,7.36,8.00,7.57,3.00,6.07,4.04,4.44,9.77,5.83,8.25,7.90,6.71,6.82
2020,CMR,Cameroon,5.76,144,4,7.52,14.44,9.53,2.21,7.96,22.14,5.00,39.00,4.00,43.00,4.50,6.45,7.19,3.49,3.09,4.29,4.17,3.76,2.17,3.97,5.07,0.47,2.76,9.52,2.42,9.61,0.97,9.51,2.44,0.00,7.16,7.00,4.50,6.36,18.20,6.29,9.28,6.55,5.32,0.00,2.66,10.00,1.64,1.54,0.00,1.06,5.07,5.00,7.54,10.00,7.51,7.23,4.79,6.63,8.00,7.01,10.00,7.28,4.23,3.56,9.27,1.78,8.83,3.01,5.11,6.63
2020,COD,"Congo, Dem. Rep.",5.36,156,4,8.86,9.88,9.92,0.80,10.00,10.11,5.00,40.00,2.00,51.00,3.50,5.91,7.64,3.49,2.33,3.25,2.50,2.82,0.97,5.96,3.15,0.76,2.70,7.26,13.71,2.69,18.27,7.72,11.40,5.00,5.67,9.11,1.34,7.80,11.00,7.58,6.05,8.16,5.09,0.00,2.55,10.00,1.64,0.77,0.00,0.80,5.38,0.00,9.06,8.00,5.69,1.67,3.94,6.33,8.00,10.00,3.00,5.49,3.20,0.00,9.59,2.54,8.90,6.12,5.06,5.41
